Predictor1,Predictor2
0.44,0.68
0.99,0.23
0.84,0.29
0.28,0.45
0.07,0.83
0.66,0.8
0.73,0.92
0.57,0.43
0.43,0.89
0.27,0.95
0.43,0.06
0.87,0.91
0.78,0.69
0.9,0.94
0.41,0.06
0.52,0.17
0.47,0.66
0.65,0.43
0.85,0.64
0.93,0.44
0.41,0.93
0.36,0.43
0.78,0.85
0.69,0.07
0.04,0.52
0.17,0.15
0.68,0.13
0.84,0.6
0.38,0.4
0.12,0.65
0.62,0.17
0.79,0.97
0.82,0.04
0.91,0.53
0.35,0.85
0.57,0.69
0.52,0.22
0.31,0.15
0.6,0.02
0.99,0.91
0.48,0.76
0.3,0.19
0.58,0.62
0.65,0.17
0.6,0.69
0.95,0.76
0.47,0.23
0.15,0.96
0.01,0.03
0.26,0.23
0.01,0.11
0.45,0.87
0.09,0.97
0.96,0.25
0.63,0.58
0.06,0.42
0.1,0.24
0.26,0.62
0.41,0.15
0.91,0.95
0.83,0.64
0.44,0.64
0.2,0.4
0.43,0.12
0.21,0.22
0.88,0.4
0.31,0.87
0.99,0.99
0.23,0.26
0.79,0.12
0.02,0.28
0.89,0.48
0.02,0.56
0.92,0.03
0.72,0.34
0.3,0.99
0.86,0.66
0.47,0.65
0.79,0.94
0.82,0.96
0.9,0.42
0.19,0.62
0.7,0.57
0.7,0.61
0.69,0.0
0.98,0.3
0.3,0.08
0.85,0.49
0.73,0.01
1.0,0.23
0.42,0.94
0.49,0.98
0.89,0.68
0.22,0.46
0.34,0.5
0.99,0.13
0.28,0.46
0.87,0.36
0.23,0.87
0.77,0.36
